14.20 m: { TP:  1/33, FP:   9/33, TN:  0/33, FN:  23/33, Error Dist:   70.04001, Precision:  0.100, Recall:  0.042 }
14.40 m: { TP:  1/33, FP:   9/33, TN:  0/33, FN:  23/33, Error Dist:   75.29869, Precision:  0.100, Recall:  0.042 }
14.60 m: { TP:  1/33, FP:   7/33, TN:  0/33, FN:  25/33, Error Dist:   76.23873, Precision:  0.125, Recall:  0.038 }
14.80 m: { TP:  1/33, FP:   7/33, TN:  0/33, FN:  25/33, Error Dist:   81.63751, Precision:  0.125, Recall:  0.038 }
15.00 m: { TP:  1/33, FP:   6/33, TN:  0/33, FN:  26/33, Error Dist:   83.98428, Precision:  0.143, Recall:  0.037 }
15.20 m: { TP:  1/33, FP:   6/33, TN:  0/33, FN:  26/33, Error Dist:   89.71218, Precision:  0.143, Recall:  0.037 }
15.40 m: { TP:  1/33, FP:   4/33, TN:  0/33, FN:  28/33, Error Dist:   67.88465, Precision:  0.200, Recall:  0.034 }
15.60 m: { TP:  1/33, FP:   3/33, TN:  0/33, FN:  29/33, Error Dist:    7.70037, Precision:  0.250, Recall:  0.033 }
15.80 m: { TP:  1/33, FP:   3/33, TN:  0/33, FN:  29/33, Error Dist:    8.22549, Precision:  0.250, Recall:  0.033 }
16.00 m: { TP:  1/33, FP:   3/33, TN:  0/33, FN:  29/33, Error Dist:    8.77388, Precision:  0.250, Recall:  0.033 }
16.20 m: { TP:  1/33, FP:   3/33, TN:  0/33, FN:  29/33, Error Dist:    9.34602, Precision:  0.250, Recall:  0.033 }
16.40 m: { TP:  1/33, FP:   3/33, TN:  0/33, FN:  29/33, Error Dist:    9.94242, Precision:  0.250, Recall:  0.033 }
16.60 m: { TP:  0/33, FP:   3/33, TN:  0/33, FN:  30/33, Error Dist:   10.41469, Precision:  0.000, Recall:  0.000 }
16.80 m: { TP:  0/33, FP:   3/33, TN:  0/33, FN:  30/33, Error Dist:   11.05599, Precision:  0.000, Recall:  0.000 }
17.00 m: { TP:  0/33, FP:   3/33, TN:  0/33, FN:  30/33, Error Dist:   11.72303, Precision:  0.000, Recall:  0.000 }
17.20 m: { TP:  0/33, FP:   3/33, TN:  1/33, FN:  29/33, Error Dist:   12.41633, Precision:  0.000, Recall:  0.000 }
17.40 m: { TP:  0/33, FP:   3/33, TN:  2/33, FN:  28/33, Error Dist:   13.13637, Precision:  0.000, Recall:  0.000 }
17.60 m: { TP:  0/33, FP:   3/33, TN:  4/33, FN:  26/33, Error Dist:   13.88366, Precision:  0.000, Recall:  0.000 }
17.80 m: { TP:  0/33, FP:   3/33, TN:  7/33, FN:  23/33, Error Dist:   14.65871, Precision:  0.000, Recall:  0.000 }
18.00 m: { TP:  0/33, FP:   3/33, TN: 10/33, FN:  20/33, Error Dist:   15.46201, Precision:  0.000, Recall:  0.000 }
18.20 m: { TP:  0/33, FP:   2/33, TN: 18/33, FN:  13/33, Error Dist:    5.56713, Precision:  0.000, Recall:  0.000 }
18.40 m: { TP:  0/33, FP:   2/33, TN: 21/33, FN:  10/33, Error Dist:    5.86151, Precision:  0.000, Recall:  0.000 }
18.60 m: { TP:  0/33, FP:   2/33, TN: 24/33, FN:   7/33, Error Dist:    6.16593, Precision:  0.000, Recall:  0.000 }
18.80 m: { TP:  0/33, FP:   2/33, TN: 28/33, FN:   3/33, Error Dist:    6.48054, Precision:  0.000, Recall:  0.000 }
19.00 m: { TP:  0/33, FP:   2/33, TN: 28/33, FN:   3/33, Error Dist:    6.80553, Precision:  0.000, Recall:  0.000 }
19.20 m: { TP:  0/33, FP:   1/33, TN: 30/33, FN:   2/33, Error Dist:    0.00000, Precision:  0.000, Recall:  0.000 }
19.40 m: { TP:  0/33, FP:   1/33, TN: 31/33, FN:   1/33, Error Dist:    0.00000, Precision:  0.000, Recall:  0.000 }
19.60 m: { TP:  0/33, FP:   1/33, TN: 32/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
19.80 m: { TP:  0/33, FP:   1/33, TN: 32/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
